hmid,match_id,entertainment,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,id,text
27757,68,theatre,237,24h,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,After a long time of waiting i finally got my tickets for my favourite movie released yesterday that too for a first day first show.It was really an awesome feeling still i could feel it all the way.I get goosebumps when i relive the moment in theatre.,TRUE,1,NA,enjoy_the_moment,85,time waiting finally tickets favourite movie released day showit awesome feel feel wayi goosebumps relive moment theatre
27771,54,poet,5046,24h,I found a poet that I really love a lot on twitter.,I found a poet that I really love a lot on twitter.,TRUE,1,NA,enjoy_the_moment,99,found poet love twitter
27779,47,read,9896,24h,i read a great book about motivation and atitude,i read a great book about motivation and attitude,FALSE,1,NA,leisure,107,read book motivated attitude
27779,6,book,9896,24h,i read a great book about motivation and atitude,i read a great book about motivation and attitude,FALSE,1,NA,leisure,107,read book motivated attitude
27787,1,movie,13,24h,Yesterday night I went for a movie with my family.We had great fun spending time together.,Yesterday night I went for a movie with my family.We had great fun spending time together.,TRUE,1,NA,affection,115,night movie familywe fun spend time
27800,47,read,455,24h,"This is the second essay in a two-part series about my journey to visit the Taj Mahal. Read the first part for the whole story.

A
GRA, Uttar Pradesh, India a As soon as my train to Agra leaves from Delhi, I find myself confused again. Iam lying on my reserved upper berth, though most of the train car beds arenat being used and almost all of the passengers are sitting on lower seats. I feel ridiculous, like Iam emperor of my train car, overseeing the rest of the passengers from above. Meanwhile, men pass by below me, offering a mysterious vegetarian curry out of industrial-sized buckets. I motion for one to serve me some on a paper plate, but when I try to pay for the food, he wonat accept any money. This is the first time Iave gotten anything for free in India. I conclude that the food is going to kill me.

While Iam eating, the train makes a stop and passengers disembark, but the conductor makes no announcements. I canat see through any of the trainas tiny lower windows from my upper bunk. I have no idea where I am.

aIs this Agra?a I ask a man sitting below me. I ask as nicely as possible, in an attempt to avoid appearing as a self-righteous train car emperor, shouting questions to my serfs. After all, I remember, Taj Mahal-builder and Mughal Emperor Shah Jahan was overthrown by his son soon after the Taj Mahalas completion. The man below shakes his head and, in Hindi, I think he tells me that we still have a long ride to Agra. Another man walks by selling non-vegetarian food in foil tins. The first shots of an intestinal war have already been fired as a result of my free bucket food, so I decline. As the train chugs toward Agra, stopping at stations along the way, I find myself continuously recruiting new serfs below me to keep track of where we are. By the time Iam halfway through the journey, I have an eighteen year old kid, two Indian soldiers, and a young woman a none of whom can speak English a trying to assist me. Itas easy to accidentally aggregate helpers on the train; mercifully, Indians tend to be especially protective of clueless Westerners trying to make sense of Indian public transportation. At one point, the two Indian soldiers demand that a teenager move his feet resting on my berth, and the young woman makes food recommendations as buckets whisk by. Theyare kind of like four Train-Fairy Godmothers. Soon, I fall asleep.

Suddenly, I awake to the sound of four Indians chanting aAgra! Agra!a in unison. I abruptly end my time as train car emperor, jump down from my bed, thank the four of them, and catch a taxi to my Agra guesthouse. Before he leaves, I arrange for my taxi driver to pick me up at 6 AM the next morning to take me to the Taj Mahal.

In the morning, I tell my driver to take me to the East Gate of the Taj Mahal. He promptly takes me to a roundabout near the West Gate instead a though his aEast Gate!a announcement upon our arrival is quite convincing. Indiaas perpetually dishonest taxi drivers always have ulterior (and sometimes mysterious) motives; in this case, he was trying to save gas by taking me to the Gate closer to my hotel and, according to Lonely Planet, possibly collect a kickback from camel and rickshaw drivers sitting near the West Gate waiting to take tourists to the Tajas ticket office. I donat bother to argue with him since thereas not much time until sunrise, and I walk quickly to the entrance. Standing in line with about twenty other mostly Indian tourists, Iam surprised to see a lack of Westerners a I imagined that every white person in India would be flocking to the Taj Mahal.

Finally, the doors open, and I catch my first glimpse of the building considered to be the most beautiful in the world, one whose creator boasted that it made athe sun and the moon shed tears from their eyes.a I see the famous white, marble dome peeking through the arch of the Great Gate as tourists hold cameras high above their heads to get their first snapshot. I walk deliberately toward and around the Taj, soaking in the dawn, slowly taking photos from every possible angle. A handful of photographers gather in front of the adjacent Taj Mahal mosque with me to capture the sun as it rises behind it. Everyone is reverent, taking care not to interfere with othersa photographs and offering to help take posed pictures. The moment is perfect for the photographer gaggle: mist blankets the Yamuna River behind the structure, and the building looks like it has risen spontaneously from a clouded heaven, a concrete manifestation of nirvana.

The simple presence of the Taj, built as a symbol of eternal love by Emperor Jahan in memory of his third wife who died during childbirth, seems to encourage even rabid photographers to cooperate with each other.

I spend almost two hours touring and photographing the Taj, walking around its walls, admiring the calligraphy on the entrance arch, gazing at the minarets, and touching the intricate lattice screens in the mausoleum interior. Iam just about finished, taking a few final classic Taj Mahal reflection pool photographs from outside, when a beautiful, young blond woman performing playful, provocative poses for her friendas camera catches my eye. Soon, a string of Indian men, and some Indian families too, start interrupting to ask her to pose with them in souvenir photos.

aThe Indian tourists seem more interested in your white skin and blond hair than the white marble of the Taj Mahal,a I say to her. aIam pretty sure a lot of these Indian guys are leaving with more pictures of you than the Taj.a

She chuckles and introduces herself to me as Sophie, from France, and, quickly, weare trading funny stories of our travels through India. We like each other immediately. We find ourselves chatting in front of the Tajas reflection pool for about a half hour as Indian men gawk at us. But when Sophie and I realize that weare headed in opposite directions a she toward Amritsar in northern India and me toward Kerala in southern India a we share an awkward moment during which we realize that this is the one and only meeting of our entire lives.

aWell, it truly has been a pleasure, Hank,a she says. Her eyes hold on mine. For a long moment, she doesnat look away. I canat tell whether sheas staring at me or at the exquisite reflection of the Taj Mahal in the pool behind me.

She walks past me, in front of the rising sun. Then, she glances back at me one last time, smiles, and then shifts her gaze, once again, toward the worldas most beautiful symbol of eternal love.","This is the second essay in a two-part series about my journey to visit the Taj Mahal. Read the first part for the whole story.

A
GRA, Uttar Pradesh, India a As soon as my train to Agra leaves from Delhi, I find myself confused again. Iam lying on my reserved upper berth, though most of the train car beds arenat being used and almost all of the passengers are sitting on lower seats. I feel ridiculous, like Iam emperor of my train car, overseeing the rest of the passengers from above. Meanwhile, men pass by below me, offering a mysterious vegetarian curry out of industrial-sized buckets. I motion for one to serve me some on a paper plate, but when I try to pay for the food, he wonat accept any money. This is the first time Iave gotten anything for free in India. I conclude that the food is going to kill me.

While Iam eating, the train makes a stop and passengers disembark, but the conductor makes no announcements. I canat see through any of the trainas tiny lower windows from my upper bunk. I have no idea where I am.

aIs this Agra?a I ask a man sitting below me. I ask as nicely as possible, in an attempt to avoid appearing as a self-righteous train car emperor, shouting questions to my serfs. After all, I remember, Taj Mahal-builder and Mughal Emperor Shah Jahan was overthrown by his son soon after the Taj Mahalas completion. The man below shakes his head and, in Hindi, I think he tells me that we still have a long ride to Agra. Another man walks by selling non-vegetarian food in foil tins. The first shots of an intestinal war have already been fired as a result of my free bucket food, so I decline. As the train chugs toward Agra, stopping at stations along the way, I find myself continuously recruiting new serfs below me to keep track of where we are. By the time Iam halfway through the journey, I have an eighteen year old kid, two Indian soldiers, and a young woman a none of whom can speak English a trying to assist me. Itas easy to accidentally aggregate helpers on the train; mercifully, Indians tend to be especially protective of clueless Westerners trying to make sense of Indian public transportation. At one point, the two Indian soldiers demand that a teenager move his feet resting on my berth, and the young woman makes food recommendations as buckets whisk by. Theyare kind of like four Train-Fairy Godmothers. Soon, I fall asleep.

Suddenly, I awake to the sound of four Indians chanting aAgra! Agra!a in unison. I abruptly end my time as train car emperor, jump down from my bed, thank the four of them, and catch a taxi to my Agra guesthouse. Before he leaves, I arrange for my taxi driver to pick me up at 6 AM the next morning to take me to the Taj Mahal.

In the morning, I tell my driver to take me to the East Gate of the Taj Mahal. He promptly takes me to a roundabout near the West Gate instead a though his aEast Gate!a announcement upon our arrival is quite convincing. Indiaas perpetually dishonest taxi drivers always have ulterior (and sometimes mysterious) motives; in this case, he was trying to save gas by taking me to the Gate closer to my hotel and, according to Lonely Planet, possibly collect a kickback from camel and rickshaw drivers sitting near the West Gate waiting to take tourists to the Tajas ticket office. I donat bother to argue with him since thereas not much time until sunrise, and I walk quickly to the entrance. Standing in line with about twenty other mostly Indian tourists, Iam surprised to see a lack of Westerners a I imagined that every white person in India would be flocking to the Taj Mahal.

Finally, the doors open, and I catch my first glimpse of the building considered to be the most beautiful in the world, one whose creator boasted that it made athe sun and the moon shed tears from their eyes.a I see the famous white, marble dome peeking through the arch of the Great Gate as tourists hold cameras high above their heads to get their first snapshot. I walk deliberately toward and around the Taj, soaking in the dawn, slowly taking photos from every possible angle. A handful of photographers gather in front of the adjacent Taj Mahal mosque with me to capture the sun as it rises behind it. Everyone is reverent, taking care not to interfere with othersa photographs and offering to help take posed pictures. The moment is perfect for the photographer gaggle: mist blankets the Yamuna River behind the structure, and the building looks like it has risen spontaneously from a clouded heaven, a concrete manifestation of nirvana.

The simple presence of the Taj, built as a symbol of eternal love by Emperor Jahan in memory of his third wife who died during childbirth, seems to encourage even rabid photographers to cooperate with each other.

I spend almost two hours touring and photographing the Taj, walking around its walls, admiring the calligraphy on the entrance arch, gazing at the minarets, and touching the intricate lattice screens in the mausoleum interior. Iam just about finished, taking a few final classic Taj Mahal reflection pool photographs from outside, when a beautiful, young blond woman performing playful, provocative poses for her friends camera catches my eye. Soon, a string of Indian men, and some Indian families too, start interrupting to ask her to pose with them in souvenir photos.

aThe Indian tourists seem more interested in your white skin and blond hair than the white marble of the Taj Mahal,a I say to her. aIam pretty sure a lot of these Indian guys are leaving with more pictures of you than the Taj.a

She chuckles and introduces herself to me as Sophie, from France, and, quickly, weare trading funny stories of our travels through India. We like each other immediately. We find ourselves chatting in front of the Tajas reflection pool for about a half hour as Indian men gawk at us. But when Sophie and I realize that weare headed in opposite directions a she toward Amritsar in northern India and me toward Kerala in southern India a we share an awkward moment during which we realize that this is the one and only meeting of our entire lives.

well, it truly has been a pleasure, Hank,a she says. Her eyes hold on mine. For a long moment, she doesnat look away. I canat tell whether sheas staring at me or at the exquisite reflection of the Taj Mahal in the pool behind me.

She walks past me, in front of the rising sun. Then, she glances back at me one last time, smiles, and then shifts her gaze, once again, toward the world's most beautiful symbol of eternal love.",FALSE,53,NA,affection,128,essay twopart series journey visit taj mahal read story gra uttar pradesh india training agra leave delhi confused iam lying reservation upper berth training car bed arenat passengers sitting lower seat feel ridiculous iam emperor training car overseeing rest passengers passed offer mystery vegetarian curry industrialsized bucket motion served paper plate pay food wonat accepted money time iave free india concluded food killed iam eat training makes stopped passengers disembark conductor makes announced canat trainas tiny lower window upper bunk idea ai agraa sitting nice attempt avoiding appeared selfrighteous training car emperor shouted questions serfs remember taj mahalbuilder mughal emperor shah jahan overthrown son taj mahala completed shake head hindi telling ride agra walk sell nonvegetarian food foil tins shot intestinal wars fire results free bucket food decline training chugs agra stopped station continue recruiter serfs track time iam halfway journey eighteen kids indian soldiers woman speak english assistant itas easy accidentally aggregate helpers training mercy indian tend protect clueless western sense indian public transportation indian soldiers demand teenage moved feet rest berth woman makes food recommended bucket whisk theyare trainfairy godmother fall asleep suddenly awake sound indian chanting aagra agraa unison abruptly time training car emperor jumped bed catch taxi agra guesthouse leave arranged taxi driver picked morning taj mahal morning driver east gate taj mahal promptly taking roundabout west gate aeast gatea announced arrived convinced indiaas perpetually dishonest taxi driver ulterior mystery motivated saved gas taking gate closer hotel lonely planet possibly collect kickback camel rickshaw driver sitting west gate waiting tourist tajas tickets office donat bothering argue thereas time sunrise walk quickly entrance stand line twenty indian tourist iam surprise lack western imagine white person india flock taj mahal finally door catch glimpse building considered beautiful world creator boasted athe sun moon shed tears eyesa famous white marble dome peek arch gate tourist hold camera head snapshot walk deliberately taj soaked dawn slowly taking photos angle hand photographs gathering front adjacent taj mahal mosque capture sun rise reverent taking care interfere othersa photographs offer pose picture moment perfect photographs gaggle mist blanket yamuna river structure building risen spontaneously clouds heaven concrete manifest nirvana simple presence taj built symbol eternal love emperor jahan memories wife died childbirth encouraged rabid photographs cooperative spend hours tour photographs taj walk wall admire calligraphy entrance arch gazing minarets touch intricate lattice screen mausoleum interior iam finished taking finally classic taj mahal reflect pool photographs beautiful blond woman performance played provocative pose friend camera catch eyes string indian indian family started interruptions pose souvenir photos athe indian tourist white skin blond hair white marble taj mahala aiam pretty indian guy leave picture tajas chuckled introduced sophie france quickly wear trade funny story travel india immediately chat front tajas reflect pool half hours indian gawk sophie realized wear head opposite direction amritsar northern india kerala southern india share awkward moment realized meet entire live pleasure hanka eyes hold mine moment doesnat canat shea stare exquisite reflect taj mahal pool walk front rise sun glanced time smile shift gazing world beautiful symbol eternal love
27807,1,movie,600,24h,"My went to a movie with my friends , had popcorn and coke.Was fun !","My went to a movie with my friends , had popcorn and coke.Was fun !",TRUE,1,NA,bonding,135,movie friend popcorn cokewas fun
27834,3,film,1836,24h,all my family went out to watch a film,all my family went out to watch a film,TRUE,1,NA,affection,162,family watched film
27838,39,video,5,24h,I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,TRUE,1,leisure,leisure,166,played video game enjoyed bit relax
27853,108,band,5050,24h,I was playing rock band with my family.,I was playing rock band with my family.,TRUE,1,NA,affection,181,played rock band family
27858,2,tv,1232,24h,after 2 month i bought new tcl 32 inch led tv its looks cool and i reaily loved it,after 2 month i bought new tcl 32 inch led tv its looks cool and i really loved it,FALSE,1,NA,achievement,186,bought tcl inch led tv cool love
27908,62,music,2957,24h,"I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's 
entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I
 hope to return there anytime soon.
","I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's 
entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I
 hope to return there anytime soon.
",TRUE,2,affection,affection,236,travel family beautiful beach enjoyed attractive entertaining people gathering music band party pleasant experience hope return anytime
27908,108,band,2957,24h,"I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's 
entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I
 hope to return there anytime soon.
","I traveled with my family and went to a beautiful beach, I enjoyed most of the attraction in the area, there's 
entertainers everywhere and a lot of people are gathering with music bands partying. It was a pleasant experience and I
 hope to return there anytime soon.
",TRUE,2,affection,affection,236,travel family beautiful beach enjoyed attractive entertaining people gathering music band party pleasant experience hope return anytime
27944,61,song,491,24h,"I always think of each night as a song. Or each moment as a song.To feel much more than know.
To be the eyes of an eagle, slope of a mountain;
To be a wave understanding the influence of the moon;
To be a tree and read the memory of the leaves;
To be an insignificant pedestrian on the streets
Of crazy cities watching, watching, and watching.","I always think of each night as a song. Or each moment as a song.To feel much more than know.
To be the eyes of an eagle, slope of a mountain;
To be a wave understanding the influence of the moon;
To be a tree and read the memory of the leaves;
To be an insignificant pedestrian on the streets
Of crazy cities watching, watching, and watching.",TRUE,3,NA,leisure,272,night song moment songto feel eyes eagle slope mountain wave understand influence moon tree read memories leave insignificant pedestrians street crazy city watched watched watched
27944,47,read,491,24h,"I always think of each night as a song. Or each moment as a song.To feel much more than know.
To be the eyes of an eagle, slope of a mountain;
To be a wave understanding the influence of the moon;
To be a tree and read the memory of the leaves;
To be an insignificant pedestrian on the streets
Of crazy cities watching, watching, and watching.","I always think of each night as a song. Or each moment as a song.To feel much more than know.
To be the eyes of an eagle, slope of a mountain;
To be a wave understanding the influence of the moon;
To be a tree and read the memory of the leaves;
To be an insignificant pedestrian on the streets
Of crazy cities watching, watching, and watching.",TRUE,3,NA,leisure,272,night song moment songto feel eyes eagle slope mountain wave understand influence moon tree read memories leave insignificant pedestrians street crazy city watched watched watched
27964,1,movie,102,24h,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,TRUE,1,NA,leisure,292,movie telugu movie favourite hero movie released awesome movie
27964,1,movie,102,24h,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,TRUE,1,NA,leisure,292,movie telugu movie favourite hero movie released awesome movie
27964,1,movie,102,24h,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,TRUE,1,NA,leisure,292,movie telugu movie favourite hero movie released awesome movie
27964,1,movie,102,24h,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,We went movie at 9:30 its Telugu movie my favourite hero new movie released its awesome movie,TRUE,1,NA,leisure,292,movie telugu movie favourite hero movie released awesome movie
27979,47,read,9896,24h,the story and the advices that i got by reading,the story and the advices that i got by reading,TRUE,1,NA,enjoy_the_moment,307,story advice read
27983,47,read,1094,24h,Reading comics books whilst drinking cocoa drink.,Reading comics books whilst drinking cocoa drink.,TRUE,1,NA,leisure,311,read comic book whilst drink cocoa drink
27983,6,book,1094,24h,Reading comics books whilst drinking cocoa drink.,Reading comics books whilst drinking cocoa drink.,TRUE,1,NA,leisure,311,read comic book whilst drink cocoa drink
27998,2,tv,820,24h,I got to finish a tv series I was watching with my mom,I got to finish a tv series I was watching with my mom,TRUE,1,NA,affection,326,finished tv series watched mom
28000,54,poet,455,24h,"Sunset is the time when the sun goes down and night begins. During the sunset, nature assumes fresh, bright, and charming. The sun seems to be a disc of gold. At the time of sunset, one can enjoy the serenity of a sunset. Then nature seems in a hurry. People finish their work and return home. Birds return to their nests. The cowboys become busy with returning home with cattle. When the sun sets, nature looks very beautiful. Then the nature starts getting dark. The slight darkness of the sunset creates a feeling of joy and tranquility in us. The beauty of the sunset helps a poet to generate any ideas and compose poems.","Sunset is the time when the sun goes down and night begins. During the sunset, nature assumes fresh, bright, and charming. The sun seems to be a disc of gold. At the time of sunset, one can enjoy the serenity of a sunset. Then nature seems in a hurry. People finish their work and return home. Birds return to their nests. The cowboys become busy with returning home with cattle. When the sun sets, nature looks very beautiful. Then the nature starts getting dark. The slight darkness of the sunset creates a feeling of joy and tranquility in us. The beauty of the sunset helps a poet to generate any ideas and compose poems.",TRUE,12,NA,nature,328,sunset time sun night beginning sunset nature assumed fresh bright charming sun disc gold time sunset enjoyed serene sunset nature hurry people finished return home birds return nest cowboys business return home cattle sun set nature beautiful nature started dark slightly dark sunset created feel joy tranquility beautiful sunset helped poet generation idea composed poem
28000,35,poem,455,24h,"Sunset is the time when the sun goes down and night begins. During the sunset, nature assumes fresh, bright, and charming. The sun seems to be a disc of gold. At the time of sunset, one can enjoy the serenity of a sunset. Then nature seems in a hurry. People finish their work and return home. Birds return to their nests. The cowboys become busy with returning home with cattle. When the sun sets, nature looks very beautiful. Then the nature starts getting dark. The slight darkness of the sunset creates a feeling of joy and tranquility in us. The beauty of the sunset helps a poet to generate any ideas and compose poems.","Sunset is the time when the sun goes down and night begins. During the sunset, nature assumes fresh, bright, and charming. The sun seems to be a disc of gold. At the time of sunset, one can enjoy the serenity of a sunset. Then nature seems in a hurry. People finish their work and return home. Birds return to their nests. The cowboys become busy with returning home with cattle. When the sun sets, nature looks very beautiful. Then the nature starts getting dark. The slight darkness of the sunset creates a feeling of joy and tranquility in us. The beauty of the sunset helps a poet to generate any ideas and compose poems.",TRUE,12,NA,nature,328,sunset time sun night beginning sunset nature assumed fresh bright charming sun disc gold time sunset enjoyed serene sunset nature hurry people finished return home birds return nest cowboys business return home cattle sun set nature beautiful nature started dark slightly dark sunset created feel joy tranquility beautiful sunset helped poet generation idea composed poem
28010,6,book,1764,24h,Today afternoon 2.00 p.m  my husband suddenly planned for vacation tour . He booked the ticket for whole trip . I didn't expect  this from my husband .,Today afternoon 2.00 p.m  my husband suddenly planned for vacation tour . He booked the ticket for whole trip . I didn't expect  this from my husband .,TRUE,3,NA,affection,338,afternoon pm husband suddenly planned vacation tour book tickets trip didnt expected husband
28016,1,movie,4706,24h,I watched a series of movies.,I watched a series of movies.,TRUE,1,NA,leisure,344,watched series movie
28058,2,tv,1232,24h,after 2 month i bought new tcl 32 inch led tv its looks cool and i reaily loved it,after 2 month i bought new tcl 32 inch led tv its looks cool and i really loved it,FALSE,1,NA,achievement,386,bought tcl inch led tv cool love
28068,2,tv,2464,24h,My 6 year old came and sat on my lap while we watched tv.,My 6 year old came and sat on my lap while we watched tv.,TRUE,1,NA,affection,396,sat lap watched tv
28073,62,music,2053,24h,I listened to some music and heard an entire album I hadn't heard more than once before.,I listened to some music and heard an entire album I hadn't heard more than once before.,TRUE,1,NA,leisure,401,listening music heard entire album hadnt heard
28073,42,album,2053,24h,I listened to some music and heard an entire album I hadn't heard more than once before.,I listened to some music and heard an entire album I hadn't heard more than once before.,TRUE,1,NA,leisure,401,listening music heard entire album hadnt heard
28081,68,theatre,3,24h,GO TO THEATRE AND MAKE HAPPY WITH MY FAMILY,GO TO THEATRE AND MAKE HAPPY WITH MY FAMILY,TRUE,1,affection,affection,409,theatre family
28090,31,episode,3972,24h,Watched a new episode of a show that I like.,Watched a new episode of a show that I like.,TRUE,1,leisure,leisure,418,watched episode
28108,106,dancer,2957,24h,"Me and my family went out to travel at a nearby beach, we saw this beautiful performance of pyro dancers, it was the first time that we encountered such talent and it was really impressive. I did not say anything during the performance, I was just petrified with awe on what I saw. I could not move on from the scenario itself even after the performance has ended. I could not help but think about it. I thought that the only time I would see such performance is to visit that place again and hopefully come across these specific performers again.","Me and my family went out to travel at a nearby beach, we saw this beautiful performance of pyro dancers, it was the first time that we encountered such talent and it was really impressive. I did not say anything during the performance, I was just petrified with awe on what I saw. I could not move on from the scenario itself even after the performance has ended. I could not help but think about it. I thought that the only time I would see such performance is to visit that place again and hopefully come across these specific performers again.",TRUE,5,NA,enjoy_the_moment,436,family travel nearby beach beautiful performance pyro dancer time encounter talent impressed performance petrified awe moved scenario performance time performance visit specific performance
28134,1,movie,13224,24h,I went for a movie without much expectations and turned out to be one of the best movie i have seen in a while,I went for a movie without much expectations and turned out to be one of the best movie i have seen in a while,TRUE,1,NA,leisure,462,movie expected movie
28134,1,movie,13224,24h,I went for a movie without much expectations and turned out to be one of the best movie i have seen in a while,I went for a movie without much expectations and turned out to be one of the best movie i have seen in a while,TRUE,1,NA,leisure,462,movie expected movie
28146,4,television,1625,24h,replaced the television in home,replaced the television in home,TRUE,1,NA,achievement,474,replace television home
28149,62,music,589,24h,I played guitar for the first time in a while. It was really satisfying to make some music.,I played guitar for the first time in a while. It was really satisfying to make some music.,TRUE,2,NA,leisure,477,played guitar time satisfying music
28154,1,movie,215,24h,I watched my favorite movie with my wife late at night,I watched my favorite movie with my wife late at night,TRUE,1,NA,affection,482,watched favorite movie wife late night
28156,4,television,8589,24h,I spent time relaxing with my husband and watching television.,I spent time relaxing with my husband and watching television.,TRUE,1,NA,affection,484,spent time relax husband watched television
28166,1,movie,555,24h,The third thing made me happy is I got one credit card offer.  That they increased my reward points for my purchase and they also offered free movie tickets exclusively for my credit card that makes me happy.,The third thing made me happy is I got one credit card offer.  That they increased my reward points for my purchase and they also offered free movie tickets exclusively for my credit card that makes me happy.,TRUE,2,NA,achievement,494,credit card offer increase reward purchased offer free movie tickets exclusive credit card makes
28171,61,song,5046,24h,My son sang a song for me.,My son sang a song for me.,TRUE,1,affection,affection,499,son sang song
28183,114,cinema,1094,24h,When I got the wanted seats in the cinema. It made watching a movie experience a whole lot better.,When I got the wanted seats in the cinema. It made watching a movie experience a whole lot better.,TRUE,2,NA,leisure,511,seat cinema watched movie experience
28183,1,movie,1094,24h,When I got the wanted seats in the cinema. It made watching a movie experience a whole lot better.,When I got the wanted seats in the cinema. It made watching a movie experience a whole lot better.,TRUE,2,NA,leisure,511,seat cinema watched movie experience
28214,6,book,1827,24h,I got to book my movie ticket,I got to book my movie ticket,TRUE,1,NA,leisure,542,book movie tickets
28214,1,movie,1827,24h,I got to book my movie ticket,I got to book my movie ticket,TRUE,1,NA,leisure,542,book movie tickets
28219,112,comedy,496,24h,"A good friend informed me that Dave Chappelle had 2 stand up comedy acts  just released on Netflix. That was how I ended my evening yesterday, with a huge grin on my face!","A good friend informed me that Dave Chappelle had 2 stand up comedy acts  just released on Netflix. That was how I ended my evening yesterday, with a huge grin on my face!",TRUE,2,NA,enjoy_the_moment,547,friend informed dave chappelle stand comedy act released netflix evening huge grin
